Ticker,Público Alvo,Tipo de Fii,Administrador,Último Rend. (R$),Último Rend. (%),Data Pagamento,Data Base,Rend. Méd. 12m (R$),Rend. Méd. 12m (%),Patrimônio/Cota,Cotação/VP,N° negócios/mês,Partic. IFIX,Número Cotistas,Patrimônio,Cota base
AAGR11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AAZQ11,Investidores em Geral,Fiagro:Fiagro,XP INVESTIMENTOS CCTVM S.A.,"0,12","1,32",15/01/2024,28/12/2023,"0,13","1,39","9,65","0,96",115,N/A,23.739,"231.822.163,06","9,10"
ABCP11,Investidores em Geral,Tijolo:Shoppings,RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,"0,65","0,93",08/01/2024,28/12/2023,"0,54","0,77","91,88","0,74",3,N/A,17.205,"478.010.469,38","69,81"
AFCR11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AFHI11,Investidores em Geral,Papel:Papéis,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"1,00","1,00",22/01/2024,15/01/2024,"1,06","1,06","96,43","1,02",39,"0,34",27.831,"321.041.569,91","99,70"
AFOF11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGRX11,Investidores em Geral,Fiagro:Fiagro,BANCO GENIAL S.A.,"0,15","1,37",15/01/2024,09/01/2024,"0,16","1,44","10,15","1,07",29,N/A,17.196,"144.301.915,48","10,97"
AIEC11,Investidores em Geral,Tijolo:Lajes Corporativas,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"1,33","2,33",09/01/2024,02/01/2024,"0,76","1,34","95,16","0,67",16,"0,21",16.789,"401.216.234,32","57,07"
AJFI11,Investidores em Geral,Sem categoria:,XP INVESTIMENTOS CCTVM S.A.,"0,07","0,72",22/01/2024,08/01/2024,"0,01","0,06","9,60","1,00",N/A,N/A,6.735,"303.522.331,87","9,66"
ALMI11,Investidores em Geral,Tijolo:Lajes Corporativas,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,37",N/A,13/04/2017,31/03/2017,"9,24",N/A,"2.250,09","0,31",87,N/A,2.239,"239.528.331,03",N/A
ALZC11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALZM11,Investidores em Geral,Papel:Fundo de Fundos,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,11","1,22",22/01/2024,15/01/2024,"0,09","0,97","8,52","1,02",4,N/A,5.674,"129.280.035,30","8,89"
