Empresa,Código(s),CNPJ,Banco escriturador
3R PETROLEUM ÓLEO E GÁS S.A,RRRP3,12.091.809/0001-55,ITAÚ CORRETORA DE AÇÕES
AERIS INDÚSTRIA E COMÉRCIO DE EQUIPAMENTOS DE GERAÇÃO DE ENERGIA S/A,AERI3,12.528.708/0001-07,ITAÚ CORRETORA DE AÇÕES
AES BRASIL ENERGIA S.A.,AESB3,37.663.076/0001-07,ITAÚ CORRETORA DE AÇÕES
AGROGALAXY PARTICIPAÇÕES S.A.,AGXY3,21.240.146/0001-84,ITAÚ CORRETORA DE AÇÕES
ALIANSCE SONAE SHOPPING CENTERS S.A.,ALSO3,05.878.397/0001-32,ITAÚ CORRETORA DE AÇÕES
ALLIED TECNOLOGIA S.A.,ALLD3,20.247.322/0001-47,ITAÚ CORRETORA DE AÇÕES
ALLPARK EMPREENDIMENTOS PARTICIPAÇÕES SERVIÇOS S.A.,"ALPK3
ALPK9",60.537.263/0001-66,BRADESCO
ALPARGATAS S.A.,"ALPA3
ALPA4",61.079.117/0001-05,ITAÚ CORRETORA DE AÇÕES
ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,APER3,11.721.921/0001-60,ITAÚ CORRETORA DE AÇÕES
ALPHAVILLE S.A.,"AVLL3
AVLL11",16.811.931/0001-00,BRADESCO
ALUPAR INVESTIMENTO S/A,"ALUP3
ALUP4
ALUP11",08.364.948/0001-38,ITAÚ CORRETORA DE AÇÕES
AMBEV S/A,ABEV3,07.526.557/0001-00,BRADESCO
AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S/A,AMBP3,12.648.266/0001-24,BRADESCO
AMERICANAS S.A.,AMER3,00.776.574/0001-56,ITAÚ UNIBANCO S.A.
ANIMA HOLDING S.A.,ANIM3,09.288.252/0001-32,BRADESCO
AREZZO INDÚSTRIA E COMÉRCIO S.A.,ARZZ3,16.590.234/0001-76,ITAÚ CORRETORA DE AÇÕES
"ARMAC LOCAÇÃO, SERVIÇOS E SERVIÇOS S.A.",ARML3,00.242.184/0001-04,ITAÚ CORRETORA DE AÇÕES
ATACADÃO S.A.,CRFB3,75.315.333/0001-09,ITAÚ CORRETORA DE AÇÕES
ATMA PARTICIPAÇÕES S.A.,ATMP3,04.032.433/0001-80,ITAÚ CORRETORA DE AÇÕES
AURA MINERALS INC.,AURA33,07.857.093/0001-14,BRADESCO
AZEVEDO E TRAVASSOS S.A.,"AZEV3
AZEV4
AZEV11",61.351.532/0001-68,ITAÚ CORRETORA DE AÇÕES
AZUL S.A.,AZUL4,09.305.994/0001-29,BRADESCO
"B3 S.A. – BRASIL, BOLSA, BALCÃO",B3SA3,09.346.601/0001-25,BRADESCO
BANCO ABC BRASIL S.A.,ABCB4,28.195.667/0001-06,ITAÚ CORRETORA DE AÇÕES
BANCO BTG PACTUAL S.A.,"BPAC3 
BPAC5 BPAC11",30.306.294/0001-45,BRADESCO
BANCO BRADESCO S.A.,"BBDC3
BBDC4",60.746.948/0001-12,BRADESCO
BANCO DO BRASIL S.A.,"BBAS11
BBAS12
BBAS3",00.000.000/0001-91,BANCO DO BRASIL
